发布日期,岗位名称,薪酬low,薪酬high,几薪,工作城市,城市2,城市3,地区,学历,工作年限,公司名称,公司行业,其他方面,链接
2019年12月20日,招聘数据分析岗（业务方向）,面议,,,广州,,,,统招本科,2年以上,银行,银行,节日礼物|五险一金|定期体检|绩效奖金|带薪年假,https://www.liepin.com/job/1913731066.shtml
2019年12月20日,招聘BI数据分析顾问- Tableau,面议,,,北京,,,,统招本科,2年以上,慧科讯业,战略投资,年底双薪|带薪年假|午餐补助|五险一金|发展空间大,https://www.liepin.com/job/1923472877.shtml
2019年12月20日,招聘DPI数据分析师,25,46,15,上海,北京,,,本科及以上,3年以上,某大数据公司,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/18214519.shtml
2019年12月20日,招聘数据分析师,20,40,14,,,,,统招本科,5年以上,某大数据公司,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/15559387.shtml
2019年12月20日,招聘资深数据分析师,25,50,12,上海,,,浦东新区,本科及以上,3年以上,上海基分文化传播,互联网电商,上市公司|发展空间大,https://www.liepin.com/job/1925432067.shtml
2019年12月20日,招聘商业化数据分析师,25,30,12,上海,,,浦东新区,本科及以上,3年以上,上海基分文化传播,互联网电商,上市公司|发展空间大,https://www.liepin.com/job/1925431971.shtml
2019年12月20日,招聘数据分析主管,15,30,12,深圳,,,南山区,统招本科,3年以上,深圳爱问科技股份有限公司,其他,年底双薪|绩效奖金|午餐补助|定期体检|弹性工作|节日礼物|扁平管理|岗位晋升|五险一金|上市公司,https://www.liepin.com/job/1924210089.shtml
2019年12月20日,招聘数据分析师,8,15,12,深圳,,,南山区,本科及以上,2年以上,深圳爱问科技股份有限公司,其他,年底双薪|绩效奖金|午餐补助|定期体检|弹性工作|节日礼物|扁平管理|岗位晋升|五险一金|上市公司,https://www.liepin.com/job/1924012123.shtml
2019年12月20日,招聘高级数据分析师,18,25,12,深圳,,,南山区,统招本科,3年以上,深圳爱问科技股份有限公司,其他,年底双薪|绩效奖金|午餐补助|定期体检|弹性工作|节日礼物|扁平管理|岗位晋升|五险一金|上市公司,https://www.liepin.com/job/1923374189.shtml
2019年12月20日,招聘音乐版权运营-数据分析方向,面议,,,,,,,本科及以上,3年以上,字节跳动,其他,六险一金|弹性工作|免费三餐|租房补贴|休闲下午茶|扁平管理|过亿用户|晋升空间|团队氛围好,https://www.liepin.com/job/1925422049.shtml
2019年12月20日,招聘内容社区数据分析师,面议,,,,,,,本科及以上,1年以上,字节跳动,其他,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|团队氛围好,https://www.liepin.com/job/1925307957.shtml
2019年12月20日,招聘广告安全数据分析师,面议,,,,,,,本科及以上,3年以上,字节跳动,其他,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|过亿用户|职业大牛|晋升空间|团队氛围好,https://www.liepin.com/job/1925295633.shtml
2019年12月20日,招聘研究员（数据分析方向）,25,30,14,,,,,硕士及以上,1年以上,知名跨国集团在华研发机构,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/16433523.shtml
2019年12月20日,招聘大数据分析研究员,20,40,15,北京,,,,硕士及以上,2年以上,外资研究院,通信(设备运营增值)，互联网移动互联网电子商务，计算机软件,,https://www.liepin.com/a/14342375.shtml
2019年12月20日,招聘数据分析师-社区生态方向,面议,,,,,,,硕士及以上,1年以上,字节跳动,其他,弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|健身瑜伽|晋升空间|团队氛围好,https://www.liepin.com/job/1925170489.shtml
2019年12月20日,招聘数据分析,35,40,12,北京,,,,统招本科,3年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/17765759.shtml
2019年12月20日,招聘游戏数据分析,面议,,,,,,,本科及以上,经验不限,字节跳动,其他,六险一金|弹性工作|免费三餐|租房补贴,https://www.liepin.com/job/1925101845.shtml
2019年12月20日,招聘数据分析专员（2020届校园招聘）,8,9,14,佛山,,,,统招本科,经验不限,佛山贝壳房地产经纪有限公司,轮,技能培训|岗位晋升|五险一金|团队聚餐|领导好|发展空间大|公司规模大,https://www.liepin.com/job/1924450781.shtml
2019年12月20日,招聘数据分析（高级）工程师,面议,,,,,,,本科及以上,经验不限,字节跳动,其他,六险一金|高薪期权|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|健身瑜伽|过亿用户|职业大牛|晋升空间|团队氛围好|优厚薪资,https://www.liepin.com/job/1925238235.shtml
2019年12月20日,招聘内容社区数据分析师,面议,,,上海,,,闵行区,本科及以上,1年以上,字节跳动,其他,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|职业大牛|团队氛围好,https://www.liepin.com/job/1925138249.shtml
2019年12月20日,招聘数据分析师-合同业务,面议,,,,,,,本科及以上,3年以上,字节跳动,其他,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|健身瑜伽|过亿用户|职业大牛|晋升空间|团队氛围好,https://www.liepin.com/job/1924994125.shtml
2019年12月20日,招聘数据分析经理 — 商业化,面议,,,,,,,本科及以上,5年以上,北京字节跳动网络技术有限公司,互联网电商,六险一金|免费三餐|租房补贴,https://www.liepin.com/job/1925017787.shtml
2019年12月20日,招聘SaaS 资深客服数据分析师,面议,,,,,,,本科及以上,1年以上,字节跳动,其他,六险一金|弹性工作|免费三餐,https://www.liepin.com/job/1924970091.shtml
2019年12月20日,招聘商业化数据分析专员,面议,,,,,,,本科及以上,3年以上,北京字节跳动网络技术有限公司,互联网电商,六险一金|免费三餐|租房补贴,https://www.liepin.com/job/1924916809.shtml
2019年12月20日,招聘高级数据分析师,面议,,,,,,,硕士及以上,1年以上,字节跳动,其他,带薪年假|岗位晋升|五险一金|休闲餐点|发展空间大|公司规模大,https://www.liepin.com/job/1925431157.shtml
2019年12月20日,招聘数据分析师,12,30,12,,,,,学历不限,经验不限,北京通付盾数据科技有限公司,互联网电商,带薪年假|扁平管理|管理规范|技能培训|岗位晋升|五险一金|领导好|发展空间大,https://www.liepin.com/job/1925431127.shtml
2019年12月20日,招聘数据分析专家（BA商业分析）,25,40,16,杭州,,,,统招本科,7年以上,某著名互联网公司,互联网移动互联网电子商务，计算机软件，通信(设备运营增值),,https://www.liepin.com/a/12973725.shtml
2019年12月20日,招聘数据分析专家（BA商业分析）,25,40,16,武汉,,,,统招本科,7年以上,某著名互联网公司,互联网移动互联网电子商务，计算机软件，通信(设备运营增值),,https://www.liepin.com/a/12973725.shtml
2019年12月20日,招聘数据分析专家（BA商业分析）,25,40,16,北京,,,,统招本科,7年以上,某著名互联网公司,互联网移动互联网电子商务，计算机软件，通信(设备运营增值),,https://www.liepin.com/a/12973725.shtml
2019年12月20日,招聘数据分析师,面议,,,,,,,本科及以上,5年以上,字节跳动,其他,六险一金|弹性工作|餐补|租房补贴|带薪休假|休闲下午茶|扁平管理|健身瑜伽|过亿用户|职业大牛|晋升空间|团队氛围好,https://www.liepin.com/job/1924789593.shtml
2019年12月20日,招聘广告投放（数据分析）主管,10,15,16,上海,,,,本科及以上,3年以上,某知名ACG集团公司,游戏产业，影视媒体艺术文化出版，贸易进出口,,https://www.liepin.com/a/18107033.shtml
2019年12月20日,招聘财务数据分析产品经理-企业应用,面议,,,,,,,本科及以上,5年以上,字节跳动,其他,六险一金|高薪期权|弹性工作|免费三餐|租房补贴|休闲下午茶|扁平管理,https://www.liepin.com/job/1924733377.shtml
2019年12月20日,招聘数据分析,15,20,12,上海,,,,统招本科,3年以上,上海知名地产集团公司,旅游酒店餐饮服务生活服务，广告公关市场推广会展，房地产开发建筑建材工程,,https://www.liepin.com/a/18171757.shtml
2019年12月20日,招聘广告投放（数据分析）主管,10,15,13,上海,,,,本科及以上,3年以上,上海知名日资综合性娱乐集团,游戏产业，影视媒体艺术文化出版，互联网移动互联网电子商务,,https://www.liepin.com/a/18168277.shtml
2019年12月20日,招聘数据分析,10,14,16,上海,,,浦东新区,统招本科,3年以上,某高端文化演艺中心,影视媒体艺术文化出版，房地产开发建筑建材工程，房地产服务(物业管理地产经纪),,https://www.liepin.com/a/17931593.shtml
2019年12月20日,招聘游戏产品运营（数据分析方向）,面议,,,上海,,,浦东新区,本科及以上,5年以上,字节跳动,其他,六险一金|免费三餐|租房补贴|职业大牛,https://www.liepin.com/job/1924617063.shtml
2019年12月20日,招聘数据分析专员,面议,,,宁波,,,鄞州区,本科及以上,1年以上,北京字节跳动网络技术有限公司,互联网电商,六险一金|团队氛围好|职业大牛|餐补|租房补贴,https://www.liepin.com/job/1924564661.shtml
2019年12月20日,招聘数据分析-内容策略方向,面议,,,,,,,本科及以上,3年以上,字节跳动,其他,六险一金|高薪期权|弹性工作|免费三餐|租房补贴|带薪休假|扁平管理,https://www.liepin.com/job/1924564647.shtml
2019年12月20日,招聘Python数据分析经理,20,35,12,上海,,,普陀区,统招本科,3年以上,丰贺信息科技(上海)有限公司,未融资,绩效奖金|定期体检|弹性工作|年度旅游|扁平管理|五险一金|领导好|发展空间大,https://www.liepin.com/job/1924674619.shtml
2019年12月20日,招聘数据分析/高级数据分析,6,7,12,广州,,,海珠区,统招本科,经验不限,明略科技集团,轮,绩效奖金|带薪年假|弹性工作|节日礼物|扁平管理|技能培训|岗位晋升|领导好|发展空间大|公司规模大,https://www.liepin.com/job/1923867055.shtml
2019年12月20日,招聘大数据分析师,15,20,12,杭州,,,江干区,统招本科,2年以上,衣邦人,轮,午餐补助|交通补助|五险一金|弹性工作|发展空间大|带薪年假|通讯津贴|年度旅游,https://www.liepin.com/job/1925430511.shtml
2019年12月20日,招聘数据分析工程师-视频架构,面议,,,,,,,本科及以上,经验不限,字节跳动,其他,六险一金|高薪期权|弹性工作|免费三餐|餐补|租房补贴|带薪休假|休闲下午茶|扁平管理|健身瑜伽|过亿用户|职业大牛|晋升空间|团队氛围好|优厚薪资,https://www.liepin.com/job/1924007967.shtml
2019年12月20日,招聘商业化数据分析师 — 视觉业务,面议,,,,,,,本科及以上,3年以上,字节跳动,其他,六险一金|弹性工作|免费三餐|租房补贴|休闲下午茶|扁平管理,https://www.liepin.com/job/1925117991.shtml
2019年12月20日,招聘数据分析工程师,面议,,,,,,,本科及以上,5年以上,字节跳动,其他,六险一金|弹性工作|免费三餐|租房补贴|休闲下午茶|扁平管理|健身瑜伽,https://www.liepin.com/job/1921966173.shtml
2019年12月20日,招聘数据分析师 — 重庆,面议,,,重庆,,,江北区,本科及以上,3年以上,字节跳动,其他,六险一金|弹性工作|餐补|租房补贴|休闲下午茶|扁平管理|过亿用户,https://www.liepin.com/job/1925091645.shtml
2019年12月20日,招聘数据分析师,面议,,,深圳,,,南山区,本科及以上,3年以上,北京字节跳动网络技术有限公司,互联网电商,六险一金|餐补|带薪休假|扁平管理|职业大牛|团队氛围好,https://www.liepin.com/job/1917715777.shtml
2019年12月20日,招聘风控数据分析师,面议,,,上海,,,,统招本科,3年以上,诚泰租赁,基金证券投资,股票期权|绩效奖金|带薪年假|交通补助|通讯津贴|节日礼物|五险一金,https://www.liepin.com/job/1920819673.shtml
2019年12月20日,招聘数据分析师,25,50,12,深圳,,,,本科及以上,3年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/18138113.shtml
2019年12月20日,招聘高级数据分析师,25,50,12,深圳,,,,统招本科,3年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/18134595.shtml
2019年12月20日,招聘数据分析研究,12,20,13,,,,,硕士及以上,1年以上,某知名日企公司,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/18127731.shtml
2019年12月20日,招聘资深数据分析师 Senior Data Analyst (Mobile),面议,,,上海,,,,本科及以上,5年以上,Ubisoft Shanghai,其他,公司文化|AAA项目|弹性工作|带薪年假|午餐补助|定期体检|五险一金|团队聚餐,https://www.liepin.com/job/1915145798.shtml
2019年12月20日,招聘资深数据分析师 Senior Data Analyst,面议,,,上海,,,,本科及以上,3年以上,Ubisoft Shanghai,其他,公司文化|AAA项目|弹性工作|带薪年假|午餐补助|定期体检|五险一金|团队聚餐,https://www.liepin.com/job/1915865847.shtml
2019年12月20日,招聘Data Analyst AAA Game  数据分析师,面议,,,上海,,,,学历不限,经验不限,Ubisoft Shanghai,其他,公司文化,https://www.liepin.com/job/1922075607.shtml
2019年12月20日,招聘Game Data Analyst  数据分析师,面议,,,上海,,,,学历不限,经验不限,Ubisoft Shanghai,其他,公司文化,https://www.liepin.com/job/1922075429.shtml
2019年12月20日,招聘Mobile Data Analyst手游数据分析师,面议,,,上海,,,,本科及以上,5年以上,Ubisoft Shanghai,其他,公司文化|AAA项目|弹性工作|带薪年假|午餐补助|定期体检|五险一金|团队聚餐,https://www.liepin.com/job/1924886823.shtml
2019年12月20日,招聘Business Data Analyst数据分析师,面议,,,上海,,,,本科及以上,1年以上,Ubisoft Shanghai,其他,公司文化|AAA项目|弹性工作|带薪年假|午餐补助|定期体检|五险一金|团队聚餐,https://www.liepin.com/job/1924884055.shtml
2019年12月20日,招聘数据分析工程师,8,20,12,郑州,,,管城区,硕士及以上,2年以上,中铁工程装备集团有限公司,机械机电重工,绩效奖金|带薪年假|午餐补助|定期体检|节日礼物|技能培训|岗位晋升|500强|发展空间大|公司规模大,https://www.liepin.com/job/1924684213.shtml
2019年12月20日,招聘数据分析师/主管,10,18,13,广州,,,天河区,大专及以上,3年以上,广州智颜科技有限公司,快消品,年底双薪|绩效奖金|带薪年假|年度旅游|节日礼物|岗位晋升|五险一金|全勤奖|公司规模大,https://www.liepin.com/job/1924347149.shtml
2019年12月20日,招聘Product Control Assistant/Data Analyst产品数据分析助理,6,8,12,北京,,,,本科及以上,经验不限,bestseller,服装纺织,绩效奖金|公司规模大,https://www.liepin.com/job/1924962991.shtml
2019年12月20日,招聘数据分析师,5,10,12,广州,,,,本科及以上,1年以上,时代大数据,通信业,全勤奖|优秀员工奖|弹性工作|岗位晋升|带薪年假|交通补助|节日礼物|五险一金,https://www.liepin.com/job/1920605757.shtml
2019年12月20日,招聘大数据分析工程师,15,25,12,合肥,,,,统招本科,3年以上,科讯嘉联信息技术有限公司,互联网电商,绩效奖金|带薪年假|节日礼物|免费班车|五险一金|全勤奖,https://www.liepin.com/job/1924861351.shtml
2019年12月20日,招聘数据分析师,15,30,14,上海,,,虹口区,统招本科,2年以上,掌门1对1,轮,绩效奖金|带薪年假|弹性工作,https://www.liepin.com/job/1924642971.shtml
2019年12月20日,招聘大数据分析师,15,30,12,广州,,,海珠区,统招本科,3年以上,钱大妈,快消品,年底双薪|定期体检|年度旅游|管理规范|技能培训|岗位晋升|五险一金|发展空间大|公司规模大|发展空间大,https://www.liepin.com/job/1915581392.shtml
2019年12月20日,招聘大数据分析师,15,30,12,广州,,,新港,本科及以上,3年以上,钱大妈,快消品,绩效奖金|带薪年假|五险一金|发展空间大|公司规模大,https://www.liepin.com/job/1921053177.shtml
2019年12月20日,招聘用户运营经理（租赁事业部大数据分析）,13,20,13,杭州,,,,大专及以上,5年以上,家具/家电,家具家电,,https://www.liepin.com/a/17829247.shtml
2019年12月20日,招聘业务数据分析,20,40,12,上海,,,,本科及以上,2年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/17900989.shtml
2019年12月20日,招聘Business Analyst（商业数据分析）,10,12,15,上海,,,徐汇区,统招本科,3年以上,石油/石化/化工,石油石化化工,,https://www.liepin.com/a/18230255.shtml
2019年12月20日,招聘数据分析师,20,26,15,,,,,统招本科,5年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/16850617.shtml
2019年12月20日,招聘数据分析师(Tableau),8,13,13,深圳,,,,统招本科,2年以上,五百强公司,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/18179393.shtml
2019年12月20日,招聘（高级）数据分析师,25,40,12,上海,,,长宁区,本科及以上,3年以上,电子商务,电子商务,,https://www.liepin.com/a/18267009.shtml
2019年12月20日,招聘数据分析经理,25,35,15,深圳,,,,硕士及以上,5年以上,某产险公司,互联网移动互联网电子商务，保险,,https://www.liepin.com/a/18267005.shtml
2019年12月20日,招聘运营专家（数据分析）,面议,,,上海,,,浦东新区,统招本科,5年以上,上海聚均科技有限公司,互联网电商,股票期权|绩效奖金|带薪年假|午餐补助|岗位晋升|五险一金|领导好|发展空间大,https://www.liepin.com/job/1924905269.shtml
2019年12月20日,招聘高级数据分析师,40,70,14,北京,,,,统招本科,7年以上,知名互联网公司,互联网金融，银行，保险,,https://www.liepin.com/a/18160869.shtml
2019年12月20日,招聘高级数据分析师,40,70,14,北京,,,,统招本科,7年以上,知名互联网公司,互联网金融，银行，保险,,https://www.liepin.com/a/18061757.shtml
2019年12月20日,招聘数据分析师（美妆行业）,8,12,13,杭州,,,,大专及以上,3年以上,珀莱雅,快消品,带薪年假|午餐补助|定期体检|年度旅游|节日礼物|领导好|五险一金|上市公司|通讯津贴|意外险,https://www.liepin.com/job/1920798201.shtml
2019年12月20日,招聘数据分析经理(J11679),15,20,14,深圳,,,南山区,本科及以上,8年以上,铂涛集团,餐饮酒旅服务,年底双薪|带薪年假|午餐补助|领导好|扁平管理|五险一金|团队聚餐|休闲餐点,https://www.liepin.com/job/1923439247.shtml
2019年12月20日,招聘数据分析经理(J11510),16,20,14,深圳,,,南山区,本科及以上,8年以上,铂涛集团,餐饮酒旅服务,年底双薪|带薪年假|午餐补助|领导好|扁平管理|五险一金|团队聚餐|休闲餐点,https://www.liepin.com/job/1919725853.shtml
2019年12月20日,招聘数据分析师,13,15,12,深圳,,,南山区,本科及以上,2年以上,铂涛集团,餐饮酒旅服务,年底双薪|带薪年假|午餐补助|领导好|扁平管理|五险一金|团队聚餐|休闲餐点,https://www.liepin.com/job/1915687839.shtml
2019年12月20日,招聘高级数据分析师(J10309),15,25,12,北京,,,,本科及以上,3年以上,TalkingData,轮,发展空间大|五险一金|技能培训|岗位晋升|扁平管理|领导好|带薪年假|大数据|前景棒|股票期权弹性时间,https://www.liepin.com/job/1922125751.shtml
2019年12月20日,招聘数据分析PM(J10329),15,25,12,北京,,,,本科及以上,5年以上,TalkingData,轮,发展空间大|五险一金|技能培训|岗位晋升|扁平管理|领导好|带薪年假|大数据|前景棒|股票期权弹性时间,https://www.liepin.com/job/1923938591.shtml
2019年12月20日,招聘高级数据分析师（数据经理）(J10346),20,30,12,北京,,,,本科及以上,4年以上,TalkingData,轮,发展空间大|五险一金|技能培训|岗位晋升|扁平管理|领导好|带薪年假|大数据|前景棒|股票期权弹性时间,https://www.liepin.com/job/1924696919.shtml
2019年12月20日,招聘数据分析师(J10344),15,25,12,北京,,,东直门,本科及以上,2年以上,TalkingData,轮,发展空间大|五险一金|技能培训|岗位晋升|扁平管理|领导好|带薪年假|大数据|前景棒|股票期权弹性时间,https://www.liepin.com/job/1924640369.shtml
2019年12月20日,招聘金融数据分析师,6,12,12,北京,,,,学历不限,经验不限,华壹信融投资管理(北京)有限责任公司,未融资,年底双薪|绩效奖金|带薪年假|弹性工作|技能培训|岗位晋升|五险一金|全勤奖,https://www.liepin.com/job/1925198567.shtml
2019年12月20日,招聘数据分析师,6,8,12,,,,,学历不限,经验不限,华壹信融投资管理(北京)有限责任公司,未融资,,https://www.liepin.com/job/1924864673.shtml
2019年12月20日,招聘数据分析师,15,30,13,北京,,,,本科及以上,3年以上,好贷天下信息,互联网电商,,https://www.liepin.com/job/1924651159.shtml
2019年12月20日,招聘课程顾问/社群运营（数据分析业务线）,15,25,12,,,,,统招本科,1年以上,北京小象科技有限公司,轮,带薪年假|午餐补助|扁平管理|五险一金|团队聚餐|优秀员工奖,https://www.liepin.com/job/1924891741.shtml
2019年12月20日,招聘高级数据分析师,25,45,16,上海,,,长征,本科及以上,3年以上,O2O服务,服务,绩效奖金|带薪年假|通讯津贴|定期体检|管理规范|技能培训|岗位晋升|五险一金|生育补贴|上市公司,https://www.liepin.com/job/1922746513.shtml
2019年12月20日,招聘数据分析（苏州）,20,40,15,苏州,,,工业园区,本科及以上,3年以上,O2O服务,服务,高薪培养体系|年底双薪|带薪年假|领导好|扁平管理|岗位晋升|五险一金|发展空间大|公司规模大,https://www.liepin.com/job/1922012989.shtml
2019年12月20日,招聘高级数据分析师(J10257),15,25,12,上海,,,浦东新区,本科及以上,5年以上,河姆渡,互联网电商,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1915992499.shtml
2019年12月20日,招聘Data engineer(数据分析工程师）,12,14,12,上海,,,,本科及以上,2年以上,北京恒美广告有限公司上海分公司,广告市场会展,五险一金|弹性工作|带薪年假|500强|领导好,https://www.liepin.com/job/1925386453.shtml
2019年12月20日,招聘数据分析师,18,30,15,苏州,,,工业园区,本科及以上,2年以上,银行,银行,,https://www.liepin.com/a/16708361.shtml
2019年12月20日,招聘数据分析师/数据仓库,10,18,12,福州,,,鼓楼区,本科及以上,2年以上,计算机软件,计算机软件,带薪年假|午餐补助|通讯津贴|五险一金|上市公司|定期体检,https://www.liepin.com/job/1912802282.shtml
2019年12月20日,招聘数据分析师,9,18,12,福州,,,鼓楼区,本科及以上,5年以上,计算机软件,计算机软件,午餐补助|通讯津贴|节日礼物|五险一金|上市公司|年度旅游|定期体检,https://www.liepin.com/job/1918383971.shtml
